,Name,Price,About,Stars
10,Plus Plus 4023 Разноцветный конструктор для создания 3D моделей (базовый набор),329.0,"Plus-Plus — это уникальные наборы-конструкторы, которые состоят из миниатюрных пластикатовых элементов, позволяющие собирать самые разнообразные фигурки любых уровней сложности. Особенность конструктора заключается в особой универсальной форме деталей, позволяющей соединять их между собой абсолютно любой стороной.  Представляем Вашему вниманию базовый набор, состоящий из 100 пластиковых сегментов в 10 разных цветах. С ним юный мастер сможет собрать самые разные 3D модели — человечка, робота, дерево, вертолет и многое другое. А поможет ему в этом инструкция, которая входит в комплект. Все детали помещены в чехол-тубус, который удобно брать с собой, куда угодно.  Игровой набор увлечет ребенка и будет способствовать развитию творческих способностей, логического мышления, фантазии, воображения и мелкой моторики рук.   Купить Plus Plus 4023001 Разноцветный конструктор для создания 3D моделей (базовый набор) можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
11,LEGO Classic 11003 Конструктор ЛЕГО Классик Кубики и глазки,1449.0,"Набор конструктора LEGO Classic Кубики и глазки состоит из 450 деталей. С ним малыш от 4 лет сможет собственными руками собрать множество невероятных моделек: от тыковки до зоомагазина.    В наборе серии LEGO Classic нет заранее обозначенной тематики, поэтому можно включить фантазию и свободно творить. Используя стандартные блоки и специальные элементы (множество вариаций глазок), из деталей можно собрать невероятные модели! В набор также входит книжечка с идеями.   Купить LEGO Classic 11003 Конструктор ЛЕГО Классик Кубики и глазки по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
12,LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночные автомобили,1699.0,"С игровыми наборами LEGO City можно строить реалистичные здания и транспорт, знакомиться с профессиями и отдыхать. Все, как в самом настоящем городе!    Кому из любителей большой скорости и трюков повезет больше на спортивной трассе? Скорее сажайте гонщиков в автомобили!             Купить LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночные автомобили по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
13,LEGO DUPLO 10914 Конструктор ЛЕГО ДУПЛО Большая коробка с кубиками,3789.0,"Большая коробка с кубиками LEGO DUPLO ярких красивых оттенков, двумя фигурками и деталями для постройки игровой площадки с качелями и горками.            Купить LEGO DUPLO 10914 Конструктор ЛЕГО ДУПЛО Большая коробка с кубиками по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
14,LEGO Friends 41404 Конструктор ЛЕГО Подружки Игровая шкатулка Эммы,659.0,"Набор в футляре-кубике с удобной застежкой, внутри которого 2 игровых зоны: фотостудия с принтованным фоном Парижа и фотоаппаратом и комната для макияжа с большим зеркалом, аксессуарами и ноутбуком. В комплекте минифигурка Эммы в голубом летнем костюме с принтами.            Купить LEGO Friends 41404 Конструктор ЛЕГО Подружки Игровая шкатулка Эммы по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
15,LEGO Star Wars 75263 Конструктор ЛЕГО Звездные войны Микрофайтеры: Истребитель Сопротивления типа Y,749.0,"Игровые наборы LEGO Star wars посвящены самым ярким сценам фантастической саги Звездные войны.    Новый персонаж, созданный специально для 9-го эпизода – Зори Блисс. Она девушка контрабандистка и бывшая подружка По Дэмирона. У персонажа 2 пистолета. Минифигурка одета в золотой шлем и бордовый с золотыми принтами летный костюм. Зори передвигается на Y-крылом бомбардировщике из серии микрофайтер. Модель бело-красного цвета со стрелковыми орудиями по бокам от кабины пилота, спереди и сзади.            Купить LEGO Star Wars 75263 Конструктор ЛЕГО Звездные войны Микрофайтеры: Истребитель Сопротивления типа Y по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
16,LEGO Unikitty 41451 Конструктор ЛЕГО Юникитти Машина-облако Юникитти,439.0,"Маленьким поклонникам мультсериала о Юникитти — забавной кошечке-единороге, очень понравится этот игровой набор LEGO Unikitty. Ведь вместе с любимой героиней можно отправиться в увлекательное приключение на машине-облаке, чтоб насладиться прекрасными видами города. А затем встретиться у фонтана с хорошими друзьями Юникитти — квадратным розовым медведем и Фиби, и угостить их печеньками.      Игровой процесс будет очень занимательным и интересным, ребенок может не только восстановить сюжеты из мультика, но и придумать собственные интересные истории. Конструктор способствует развитию фантазии, воображения и мелкой моторики рук.    Купить LEGO Unikitty 41451 Конструктор ЛЕГО Юникитти Машина-облако Юникитти можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
17,LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первый Микки,479.0,"Набор конструктора LEGO DUPLO Мой первый Микки состоит из 9 деталей. С ним малыш от 1,5 лет сможет собственными руками собрать одного из любимых персонажей Диснеевских мультфильмов – мышонка Микки.    В набор входят детали для сборки Микки в повседневной одежде (красных штанах, белой рубашке, черном пиджаке и желтой бабочке), а также дополнительные детали, чтобы переодеть его в голубенькую пижаму со звездочками и колпак.    Конструкторы LEGO DUPLO созданы специально для маленьких: они не такие сложные, как наборы ЛЕГО для детей постарше, а крупные детали более безопасны и их не проглотить. С LEGO DUPLO ребёнок будет собирать свои первые модельки из деталей, разовьёт мелкую моторику и усидчивость.    Купить LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первый Микки по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
18,Конструктор Lego Movie 2 70828 Конструктор 2 Автобус для вечеринки,4619.0,"Поклонникам Lego Movie 2 очень понравится этот набор-конструктор. Он позволит им погрузиться в сюжет фильма, восстановить любимые эпизоды или придумать собственную историю для игры.    На этот раз любимые герои — Эммет, Зеба и Эмбер решили устроить вечеринку в крутом автобусе с отрывающейся крышей, складными колонками и зеркальным шаром. А еще здесь есть коктейли и танцпол. Будет очень весело, пора зажигать!      Купить LEGO Movie 2 70828 Конструктор ЛЕГО Фильм 2 Автобус для вечеринки можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
19,LEGO Juniors 10767 Конструктор ЛЕГО Джуниорс История игрушек-4: Трюковое шоу Дюка Бубумса,1049.0,"Новинки Lego Juniors История игрушек-4 посвящены новым приключениям Вуди и его друзей, которые мы увидим в июне 2019года.    Персонажи История игрушек 4 Вуди и Дюк Кабум на уникальном шоу, где можно проезжать сквозь огненное кольцо и выполнять невероятные трюки. В конструкторе невероятный аттракцион-трамплин, яркие детализированные минифигурки, 2 автомобиля с подвижными колесами и крутой мотоцикл Дюка.    Конструктор легко собирается. С ним можно разыгрывать сцены из мультфильма и придумывать собственные игровые сюжеты.            Купить Lego Juniors 10767 Конструктор Лего Джуниорс История игрушек-4: Трюковое шоу Дюка Бубумса по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
