,Name,Price,About,Stars
0,LEGO City 60237 Конструктор ЛЕГО Город Поворот и перекрёсток,539.0,"Серия наборов-конструкторов LEGO City позволит юным искателям приключений погрузиться в мир городской жизни и разыграть разные, увлекательные истории.   Представляем Вашему внимаю участок дороги, состоящий из перекрестка и поворота, он предназначен специально для игр с машинками LEGO City. На пластины набора нанесена дорожная разметка. С помощью такого комплекта можно создавать сложные трассы и превращать игру в настоящие приключения!     Купить LEGO City 60237 Конструктор ЛЕГО Город Поворот и перекрёсток можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
1,"LEGO DOTs 41905 ЛЕГО Дотс Подставка для украшений ""Радуга""",1139.0,"Творческий конструктор состоит из разноцветных 2D плиток разных геометрических форм, с помощью которых можно создать аксессуар – подставку для украшений. Высота 18 см.            Купить LEGO DOTs 41905 ЛЕГО Дотс Подставка для украшений ""Радуга"" по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
2,LEGO Juniors 10766 Конструктор ЛЕГО Джуниорс История игрушек-4: Вуди на машине,559.0,"Новинки Lego Juniors История игрушек-4 посвящены новым приключениям Вуди и его друзей, которые мы увидим в июне 2019года.    Ковбой Вуди из анимационного мультфильма «История игрушек» на необычном автомобиле с фарами-глазами. В наборе также есть нано-фигурки зеленых солдат, детали для простых построек и дорожные конусы, которые можно объезжать на машине.    Конструктор легко собирается. С ним можно разыгрывать сцены из мультфильма и придумывать собственные игровые сюжеты. У минифигурки Вуди подвижные руки и ноги, его автомобиль оснащен подвижными колесами, а также присутствуют подвижные детали кузова. Машина управляется с помощью радиоуправления. Для этого есть специальное устройство, отдельное от машины, и антенна, которая держит с радиоуправлением контакт. Будет интересно управлять ими в процессе игры. И, конечно же, фигурку персонажа можно посадить за руль и представить, что Вуди снова куда-то спешит.            Купить Lego Juniors 10766 Конструктор Лего Джуниорс История игрушек-4: Вуди на машине по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
3,"Магнитой GL-1010 Конструктор магнитный Машинка с 2 героями (16 деталей, 4 - с окном)",1199.0,"Магнитой — это серия магнитных конструкторов, которые состоят из необычных разноцветных пластиковых деталей в виде различных плоских геометрических фигур и позволяют собирать объемные конструкции.    Игровой набор состоит из 16 квадратных и треугольных деталей, двух пар колес с креплениями и 2 фигурок. Юный архитектор сможет соорудить 3D модель автомобиля, в которой едут пассажиры. Каждая деталь конструктора присоединяется к другой с помощью магнита, расположенного внутри.    Игровой процесс увлечет ребенка и будет способствовать развитию логики, мышления, фантазии, воображения и мелкой моторики рук.    Купить Магнитой GL-1010 Конструктор магнитный Машинка с 2 героями (16 деталей) по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
4,"Магнитой GL-1014 Конструктор магнитный Колесо обозрения (46 деталей, 8 - с окном)",2499.0,"Магнитой — это серия магнитных конструкторов, которые состоят из необычных разноцветных пластиковых деталей в виде различных плоских геометрических фигур и позволяют собирать объемные конструкции.    Игровой набор состоит из 24 квадратов, 8 треугольников и 10 других геометрических деталей. В комплект входят 2 маленькие фигурки. Юный архитектор сможет соорудить 3D модель колеса обозрения, которое может крутиться, и расположить внутри фигурки. Или построить ракету с двумя космонавтами на борту. Каждая деталь конструктора присоединяется к другой с помощью магнита, расположенного внутри.    Игровой процесс увлечет ребенка и будет способствовать развитию логики, мышления, фантазии, воображения и мелкой моторики рук.    Купить Магнитой GL-1014 Конструктор магнитный ""Колесо обозрения"" (46 деталей) по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
5,LEGO Technic 42105 Конструктор ЛЕГО Техник Катамаран,3129.0,"Модели водных транспортных средств 2 в 1 представлены катамараном и катером. В дизайне моделей используются сине-зеленые оттенки. Катамаран оснащен очень высокими и гибкими пластиковыми парусами, основной корпус состоит из двух соединенных лодок. При движении паруса можно разворачивать, а элементы на дне лодок регулируют движение. Паруса оснащены интересными принтами, на корпусе много мелких элементов. Катамаран можно использовать в воде! Катер с двумя антеннами и мотором не использует детали паруса. В собранном виде размеры катамарана 32х45х23 см.        Купить LEGO Technic 42105 Конструктор ЛЕГО Техник Катамаран по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
6,LEGO Classic 10714 Конструктор ЛЕГО Классик Синяя базовая пластина,479.0,"Наконец-то в продаже появилась пластина синего цвета серии LEGO Classic! С её помощью любой ребёнок сможет окунуться в волшебный мир морских приключений и построить свою собственную неповторимую конструкцию. Синяя пластина предназначена для использования в качестве площадки вашего будущего творчества. Её можно представить в виде озера, реки, моря или даже лужи! Каждый малыш сможет построить на ней свой корабль дальнего плавания, отдыхающего на надувном батуте туриста или даже собственный необитаемый остров. Количество возможных сюжетов здесь не ограничено и зависит только от фантазии и креативности вашего ребёнка. Все фигурки удобно крепятся и открепляются. Это отличное приобретение для будущего строителя и изобретателя! Пластина позволяет создавать яркие и красочные сюжеты из деталей конструктора ЛЕГО.      Купить LEGO Classic 10714 Синяя базовая пластина по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
7,LEGO DUPLO 10915 Конструктор ЛЕГО ДУПЛО Грузовик Алфавит,2079.0,"Грузовик с прицепом, на котором двое ребят и медведь могут перевозить буквы английского алфавита, а затем составлять слова.            Купить LEGO DUPLO 10915 Конструктор ЛЕГО ДУПЛО Грузовик Алфавит по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
8,"Конструктор Lego Movie 2 70825 Конструктор 2 Шкатулка королевы Многолики ""Собери что хочешь""",1199.0,"Набор конструктора LEGO Movie 2: Шкатулка королевы Многолики ""Собери что хочешь"" состоит из 455 деталей.    Этот набор такой милый и необычный! Из деталей конструктора вы сможете собрать Многолику Прекрасную в самых разных образах: бабочка, ракета, поезд, осьминог, тостер, крокодил и т.д. Для этого в наборе вы найдете специальную инструкцию. Также можно подключить фантазию и собрать что-то свое.    LEGO Movie – это серия полнометражных мультфильмов о вселенной, где все сделано из кубиков ЛЕГО. Вторая часть расскажет нам о нападении на вселенную инопланетян DUPLO. Наборы конструкторов позволяют повторить сюжеты мультиков или придумать собственные приключения.    Купить LEGO Movie 2 70825 Конструктор ЛЕГО Фильм 2 Шкатулка королевы Многолики ""Собери что хочешь"" по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
9,Конструктор Lego Movie 2 70830 Конструктор 2 Подруженский Звездолёт Мими Катавасии,3499.0,"Поклонникам Lego Movie 2 очень понравится этот набор-конструктор. Он позволит им погрузиться в сюжет фильма, восстановить любимые эпизоды или придумать собственную историю для игры.    На этот раз Дикарке Люси и Эммету нужна помощь в побеге с Падруженского звездолёта Мими Катавасии. Но героям нужно быть очень осторожными, Мими будет стрелять в них липкими наклейками. Если Люси и Эммет не успеют сбежать, они попадут в тюремные камеры.      Купить LEGO Movie 2 70830 Конструктор ЛЕГО Фильм 2 Подруженский Звездолёт Мими Катавасии можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
10,Plus Plus 4023 Разноцветный конструктор для создания 3D моделей (базовый набор),329.0,"Plus-Plus — это уникальные наборы-конструкторы, которые состоят из миниатюрных пластикатовых элементов, позволяющие собирать самые разнообразные фигурки любых уровней сложности. Особенность конструктора заключается в особой универсальной форме деталей, позволяющей соединять их между собой абсолютно любой стороной.  Представляем Вашему вниманию базовый набор, состоящий из 100 пластиковых сегментов в 10 разных цветах. С ним юный мастер сможет собрать самые разные 3D модели — человечка, робота, дерево, вертолет и многое другое. А поможет ему в этом инструкция, которая входит в комплект. Все детали помещены в чехол-тубус, который удобно брать с собой, куда угодно.  Игровой набор увлечет ребенка и будет способствовать развитию творческих способностей, логического мышления, фантазии, воображения и мелкой моторики рук.   Купить Plus Plus 4023001 Разноцветный конструктор для создания 3D моделей (базовый набор) можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
11,LEGO Classic 11003 Конструктор ЛЕГО Классик Кубики и глазки,1449.0,"Набор конструктора LEGO Classic Кубики и глазки состоит из 450 деталей. С ним малыш от 4 лет сможет собственными руками собрать множество невероятных моделек: от тыковки до зоомагазина.    В наборе серии LEGO Classic нет заранее обозначенной тематики, поэтому можно включить фантазию и свободно творить. Используя стандартные блоки и специальные элементы (множество вариаций глазок), из деталей можно собрать невероятные модели! В набор также входит книжечка с идеями.   Купить LEGO Classic 11003 Конструктор ЛЕГО Классик Кубики и глазки по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
12,LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночные автомобили,1699.0,"С игровыми наборами LEGO City можно строить реалистичные здания и транспорт, знакомиться с профессиями и отдыхать. Все, как в самом настоящем городе!    Кому из любителей большой скорости и трюков повезет больше на спортивной трассе? Скорее сажайте гонщиков в автомобили!             Купить LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночные автомобили по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
13,LEGO DUPLO 10914 Конструктор ЛЕГО ДУПЛО Большая коробка с кубиками,3789.0,"Большая коробка с кубиками LEGO DUPLO ярких красивых оттенков, двумя фигурками и деталями для постройки игровой площадки с качелями и горками.            Купить LEGO DUPLO 10914 Конструктор ЛЕГО ДУПЛО Большая коробка с кубиками по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
14,LEGO Friends 41404 Конструктор ЛЕГО Подружки Игровая шкатулка Эммы,659.0,"Набор в футляре-кубике с удобной застежкой, внутри которого 2 игровых зоны: фотостудия с принтованным фоном Парижа и фотоаппаратом и комната для макияжа с большим зеркалом, аксессуарами и ноутбуком. В комплекте минифигурка Эммы в голубом летнем костюме с принтами.            Купить LEGO Friends 41404 Конструктор ЛЕГО Подружки Игровая шкатулка Эммы по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
15,LEGO Star Wars 75263 Конструктор ЛЕГО Звездные войны Микрофайтеры: Истребитель Сопротивления типа Y,749.0,"Игровые наборы LEGO Star wars посвящены самым ярким сценам фантастической саги Звездные войны.    Новый персонаж, созданный специально для 9-го эпизода – Зори Блисс. Она девушка контрабандистка и бывшая подружка По Дэмирона. У персонажа 2 пистолета. Минифигурка одета в золотой шлем и бордовый с золотыми принтами летный костюм. Зори передвигается на Y-крылом бомбардировщике из серии микрофайтер. Модель бело-красного цвета со стрелковыми орудиями по бокам от кабины пилота, спереди и сзади.            Купить LEGO Star Wars 75263 Конструктор ЛЕГО Звездные войны Микрофайтеры: Истребитель Сопротивления типа Y по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
16,LEGO Unikitty 41451 Конструктор ЛЕГО Юникитти Машина-облако Юникитти,439.0,"Маленьким поклонникам мультсериала о Юникитти — забавной кошечке-единороге, очень понравится этот игровой набор LEGO Unikitty. Ведь вместе с любимой героиней можно отправиться в увлекательное приключение на машине-облаке, чтоб насладиться прекрасными видами города. А затем встретиться у фонтана с хорошими друзьями Юникитти — квадратным розовым медведем и Фиби, и угостить их печеньками.      Игровой процесс будет очень занимательным и интересным, ребенок может не только восстановить сюжеты из мультика, но и придумать собственные интересные истории. Конструктор способствует развитию фантазии, воображения и мелкой моторики рук.    Купить LEGO Unikitty 41451 Конструктор ЛЕГО Юникитти Машина-облако Юникитти можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
17,LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первый Микки,479.0,"Набор конструктора LEGO DUPLO Мой первый Микки состоит из 9 деталей. С ним малыш от 1,5 лет сможет собственными руками собрать одного из любимых персонажей Диснеевских мультфильмов – мышонка Микки.    В набор входят детали для сборки Микки в повседневной одежде (красных штанах, белой рубашке, черном пиджаке и желтой бабочке), а также дополнительные детали, чтобы переодеть его в голубенькую пижаму со звездочками и колпак.    Конструкторы LEGO DUPLO созданы специально для маленьких: они не такие сложные, как наборы ЛЕГО для детей постарше, а крупные детали более безопасны и их не проглотить. С LEGO DUPLO ребёнок будет собирать свои первые модельки из деталей, разовьёт мелкую моторику и усидчивость.    Купить LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первый Микки по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
18,Конструктор Lego Movie 2 70828 Конструктор 2 Автобус для вечеринки,4619.0,"Поклонникам Lego Movie 2 очень понравится этот набор-конструктор. Он позволит им погрузиться в сюжет фильма, восстановить любимые эпизоды или придумать собственную историю для игры.    На этот раз любимые герои — Эммет, Зеба и Эмбер решили устроить вечеринку в крутом автобусе с отрывающейся крышей, складными колонками и зеркальным шаром. А еще здесь есть коктейли и танцпол. Будет очень весело, пора зажигать!      Купить LEGO Movie 2 70828 Конструктор ЛЕГО Фильм 2 Автобус для вечеринки можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
19,LEGO Juniors 10767 Конструктор ЛЕГО Джуниорс История игрушек-4: Трюковое шоу Дюка Бубумса,1049.0,"Новинки Lego Juniors История игрушек-4 посвящены новым приключениям Вуди и его друзей, которые мы увидим в июне 2019года.    Персонажи История игрушек 4 Вуди и Дюк Кабум на уникальном шоу, где можно проезжать сквозь огненное кольцо и выполнять невероятные трюки. В конструкторе невероятный аттракцион-трамплин, яркие детализированные минифигурки, 2 автомобиля с подвижными колесами и крутой мотоцикл Дюка.    Конструктор легко собирается. С ним можно разыгрывать сцены из мультфильма и придумывать собственные игровые сюжеты.            Купить Lego Juniors 10767 Конструктор Лего Джуниорс История игрушек-4: Трюковое шоу Дюка Бубумса по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
20,Магнитой GL-1001 Конструктор магнитный 6 квадратов (2 - с окном),319.0,"Магнитой — это серия магнитных конструкторов, которые состоят из необычных разноцветных пластиковых деталей в виде различных плоских геометрических фигур и позволяют собирать объемные конструкции.    Игровой набор состоит из 6 квадратных деталей, две из которых с окошком. С помощью деталей юный архитектор сможет соорудить самые разные оригинальные 3D фигуры. Каждая деталь конструктора присоединяется к другой с помощью магнита, расположенного внутри.    Игровой процесс увлечет ребенка и будет способствовать развитию логики, мышления, фантазии, воображения и мелкой моторики рук.    Купить Магнитой GL-1001 Конструктор магнитный 6 квадратов (2 - с окном) по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
21,LEGO City 60254 Конструктор ЛЕГО Город Great Vehicles Транспортировщик скоростных катеров,2079.0,"С игровыми наборами LEGO City можно строить реалистичные здания и транспорт, знакомиться с профессиями и отдыхать. Все, как в самом настоящем городе!    Транспортировщик водного транспорта всегда наготове, если что-то сломалось. На него можно установить спортивную лодку и отвезти для ремонта.            Купить LEGO City 60254 Конструктор ЛЕГО Город Great Vehicles Транспортировщик скоростных катеров по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
22,LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечный дом,4549.0,"Красивый модульный 3-х этажный домик с 6 игровыми зонами и игровой площадкой перед домом. В каждой комнате принтованные детали и предметы мебели. На игровой площадке размещен стол со стульями, где 3 фигурки могут выпить чай и поесть торт.            Купить LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечный дом по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
23,LEGO Creator 31105 Конструктор ЛЕГО Криэйтор Городской магазин игрушек,3029.0,"Из деталей одного набора можно собрать 3 здания: магазин детских игрушек, магазин сладостей и магазин цветов. В комплекте 2 персонажа, комплект денежных купюр, 3 птички.            Купить LEGO Creator 31105 Конструктор ЛЕГО Криэйтор Городской магазин игрушек по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
24,LEGO Friends 41396 Конструктор ЛЕГО Подружки Игровая площадка для щенков,659.0,"Миа обожает гулять вместе со своими собачками. Они идут на специальную площадку, где много интересных аттракционов: карусель и горка. Во время перерыва Миа кормит собачек и причесывает их.            Купить LEGO Friends 41396 Конструктор ЛЕГО Подружки Игровая площадка для щенков по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
25,"LEGO DOTs 41912 ЛЕГО Дотс Браслет ""Попугайчики""",429.0,"Творческий конструктор состоит из разноцветных 2D плиток разных геометрических форм, с помощью которых можно создавать украшения, декорировать их по своему вкусу и носить их.            Купить LEGO DOTs 41912 ЛЕГО Дотс Браслет ""Попугайчики"" по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
26,LEGO Unikitty 41452 Конструктор ЛЕГО Юникитти Велосипед принца Паппикорна,439.0,"Маленьким поклонникам мультсериала о Юникитти — забавной кошечке-единороге, и ее друзьях очень понравится игровой набор LEGO Unikitty. На этот раз Вашему ребенку предстоит отправиться навстречу приключениям вместе с принцем Паппикорном на его велосипеде. Но не стоит слишком быстро ехать, потому что Дино и Кикфлип совсем не успевают. Прогулка получится очень веселой, но утомительной. Можно устроить пикник, чтобы отдохнуть, перекусив пиццей и мороженным, а потом поиграть в мячик.      Игровой процесс будет очень занимательным и интересным, ребенок может не только восстановить сюжеты из мультика, но и придумать собственные интересные истории. Конструктор способствует развитию фантазии, воображения и мелкой моторики рук.    Купить LEGO Unikitty 41452 Конструктор ЛЕГО Юникитти Велосипед принца Паппикорна можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
27,Конструктор Лего Кино 2 70820 Конструктор 2 Набор кинорежиссёра LEGO,2509.0,"Набор конструктора LEGO Movie 2: Набор кинорежиссёра LEGO состоит из 482 деталей.    LEGO Movie – это серия полнометражных мультфильмов о вселенной, где все сделано из кубиков ЛЕГО. Вторая часть расскажет нам о нападении на вселенную инопланетян DUPLO. Наборы конструкторов позволяют повторить сюжеты мультиков или придумать собственные приключения.    В состав набора входят детали для сборки Многолики Прекрасной, Ультракити, инопланетян ДУПЛО, космических кораблей, а также реквизит, декорации, сцена с двумя фонами, держатель для смартфона. Вы сможете создавать забавные видеоролики, используя специальное приложение для мобильных устройств, которое можно скачать бесплатно на App Store и Google Play.    Купить LEGO Movie 2 70820 Конструктор ЛЕГО Фильм 2 Набор кинорежиссёра LEGO по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
28,LEGO Disney Princess 41158 Конструктор ЛЕГО Принцессы Дисней Башенка Жасмин,699.0,"Набор конструктора LEGO Disney Princess Башенка Жасмин состоит из 49 деталей. С ним девочка от 5 лет сможет собственными руками собрать дворцовую башенку.    Принцесса Жасмин – главная героиня мультфильма Disney «Аладдин». Она одета в бирюзовый топ и бирюзовые штаны, а на ее ножках красуются золотистые туфельки. Принцесса Жасмин отдыхает в своей башенке с балкончиком, которую можно собрать из деталей набора. А дополнительные аксессуары сделают игру еще увлекательнее!    Серия LEGO Disney Princess посвящена героиням любимых диснеевских мультфильмов. Как же чудесно поиграть за любимую принцессу, которая выглядит точно как в мультике!    Купить Lego Disney Princess 41158 Конструктор Лего Принцессы Дисней Башенка Жасмин по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
29,Магнитой GL-1002 Конструктор магнитный 8 треугольников (2 - с окном),319.0,"Магнитой — это серия магнитных конструкторов, которые состоят из необычных разноцветных пластиковых деталей в виде различных плоских геометрических фигур и позволяют собирать объемные конструкции.    Игровой набор состоит из 8 треугольных деталей, две из которых с окошком. С помощью деталей юный архитектор сможет соорудить самые разные оригинальные 3D фигуры. Каждая деталь конструктора присоединяется к другой с помощью магнита, расположенного внутри.    Игровой процесс увлечет ребенка и будет способствовать развитию логики, мышления, фантазии, воображения и мелкой моторики рук.    Купить Магнитой GL-1002 Конструктор магнитный 8 треугольников (2 - с окном) по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
0,"Спортивный Рюкзак LEGO FRIENDS, 17л.",3599,,
1,"Спортивный Рюкзак LEGO FRIENDS, 17л.",3599,,
2,Спортивный Рюкзак LEGO CHIMA 17л.,3599,,
3,Рюкзак LEGO CHIMA,3599,,
4,Подушка BAT MOVIE HERO SQUARE,,,
5,Постельное белье LEGO NINJAGO MANIA,,,
6,Плед LEGO CLASSIC AWESOME,,,
7,Плед BAT MOVIE HERO POLAR,,,
8,Плед CITY CONSTRUCTION,,,
